"DS1TCARB.Code.or.Value","DS1TCARB.Value.Description","DS1TCARB.Count","DS1TCARB.Cumulative","DS1TCARB.Skip.to.Item"
"0 to 168","Range of Values",759,759,NA
".","Missing",9003,9762,NA
