"DR2IVK.Code.or.Value","DR2IVK.Value.Description","DR2IVK.Count","DR2IVK.Cumulative","DR2IVK.Skip.to.Item"
"0 to 4867","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
