"DR2ISFAT.Code.or.Value","DR2ISFAT.Value.Description","DR2ISFAT.Count","DR2ISFAT.Cumulative","DR2ISFAT.Skip.to.Item"
"0 to 114.453","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
