"ORXH18.Code.or.Value","ORXH18.Value.Description","ORXH18.Count","ORXH18.Cumulative","ORXH18.Skip.to.Item"
"1","Positive",6,6,NA
"2","Negative",4540,4546,NA
"3","Not evaluated",297,4843,NA
".","Missing",0,4843,NA
