"DIQ175A.Code.or.Value","DIQ175A.Value.Description","DIQ175A.Count","DIQ175A.Cumulative","DIQ175A.Skip.to.Item"
"10","Family history",1186,1186,NA
"77","Refused",0,1186,NA
"99","Don't know",0,1186,NA
".","Missing",8389,9575,NA
