"LBXH3RL.Code.or.Value","LBXH3RL.Value.Description","LBXH3RL.Count","LBXH3RL.Cumulative","LBXH3RL.Skip.to.Item"
"0 to 986.8","Range of Values",1798,1798,NA
".","Missing",200,1998,NA
