"DXXL1BMD.Code.or.Value","DXXL1BMD.Value.Description","DXXL1BMD.Count","DXXL1BMD.Cumulative","DXXL1BMD.Skip.to.Item"
"0.331 to 1.774","Range of Values",6627,6627,NA
".","Missing",1558,8185,NA
