"DR1TSODI.Code.or.Value","DR1TSODI.Value.Description","DR1TSODI.Count","DR1TSODI.Cumulative","DR1TSODI.Skip.to.Item"
"17 to 21399","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
