"AUXU8KR.Code.or.Value","AUXU8KR.Value.Description","AUXU8KR.Count","AUXU8KR.Cumulative","AUXU8KR.Skip.to.Item"
"-10 to 110","Range of Values",1673,1673,NA
"666","No response",8,1681,NA
"888","Could not obtain",0,1681,NA
".","Missing",126,1807,NA
