"LBDSUASI.Code.or.Value","LBDSUASI.Value.Description","LBDSUASI.Count","LBDSUASI.Cumulative","LBDSUASI.Skip.to.Item"
"23.8 to 791.1","Range of Values",6859,6859,NA
".","Missing",510,7369,NA
