"BPD140.Code.or.Value","BPD140.Value.Description","BPD140.Count","BPD140.Cumulative","BPD140.Skip.to.Item"
"1","Yes",124,124,NA
"2","No",362,486,NA
"7","Refused",0,486,NA
"9","Don't know",1,487,NA
".","Missing",6147,6634,NA
