"DS2IMFAT.Code.or.Value","DS2IMFAT.Value.Description","DS2IMFAT.Count","DS2IMFAT.Cumulative","DS2IMFAT.Skip.to.Item"
"0.076 to 6","Range of Values",91,91,NA
".","Missing",5812,5903,NA
