"LBDPFDOL.Code.or.Value","LBDPFDOL.Value.Description","LBDPFDOL.Count","LBDPFDOL.Cumulative","LBDPFDOL.Skip.to.Item"
"0","At or above the detection limit",179,179,NA
"1","Below lower detection limit",1725,1904,NA
".","Missing",273,2177,NA
