"INDFMMPI.Code.or.Value","INDFMMPI.Value.Description","INDFMMPI.Count","INDFMMPI.Cumulative","INDFMMPI.Skip.to.Item"
"0 to 4.98","Range of Values",6676,6676,NA
"5","Value greater than or equal to 5.00",807,7483,NA
".","Missing",1771,9254,NA
