"DR1TVB12.Code.or.Value","DR1TVB12.Value.Description","DR1TVB12.Count","DR1TVB12.Cumulative","DR1TVB12.Skip.to.Item"
"0 to 308.08","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
