"MPQ060.Code.or.Value","MPQ060.Value.Description","MPQ060.Count","MPQ060.Cumulative","MPQ060.Skip.to.Item"
"1","Yes",1034,1034,NA
"2","No",4376,5410,NA
"7","Refused",0,5410,NA
"9","Don't know",0,5410,NA
".","Missing",1,5411,NA
