"MCQ260GC.Code.or.Value","MCQ260GC.Value.Description","MCQ260GC.Count","MCQ260GC.Cumulative","MCQ260GC.Skip.to.Item"
"3","Mother's mother",30,30,NA
".","Missing",10440,10470,NA
