"AUXTMEPL.Code.or.Value","AUXTMEPL.Value.Description","AUXTMEPL.Count","AUXTMEPL.Cumulative","AUXTMEPL.Skip.to.Item"
"-294 to 144","Range of Values",1795,1795,NA
"555","Compliance <= 0.2",96,1891,NA
"777","Refused",6,1897,NA
"888","Could not obtain",0,1897,NA
".","Missing",149,2046,NA
