"BHD050.Code.or.Value","BHD050.Value.Description","BHD050.Count","BHD050.Cumulative","BHD050.Skip.to.Item"
"1 to 84","Range of Values",5163,5163,NA
"777","Refused",2,5165,NA
"999","Don't know",12,5177,NA
".","Missing",530,5707,NA
