"LBXVTC.Code.or.Value","LBXVTC.Value.Description","LBXVTC.Count","LBXVTC.Cumulative","LBXVTC.Skip.to.Item"
"0.0085 to 1.4","Range of Values",3178,3178,NA
".","Missing",367,3545,NA
