"DR2TSUGR.Code.or.Value","DR2TSUGR.Value.Description","DR2TSUGR.Count","DR2TSUGR.Cumulative","DR2TSUGR.Skip.to.Item"
"0 to 789.29","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
