"DR2IIRON.Code.or.Value","DR2IIRON.Value.Description","DR2IIRON.Count","DR2IIRON.Cumulative","DR2IIRON.Skip.to.Item"
"0 to 96.19","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
