"DS2IFIBE.Code.or.Value","DS2IFIBE.Value.Description","DS2IFIBE.Count","DS2IFIBE.Cumulative","DS2IFIBE.Skip.to.Item"
"0.2 to 54","Range of Values",142,142,NA
".","Missing",5557,5699,NA
