"LBXSCLSI.Code.or.Value","LBXSCLSI.Value.Description","LBXSCLSI.Count","LBXSCLSI.Cumulative","LBXSCLSI.Skip.to.Item"
"73 to 115","Range of Values",6434,6434,NA
".","Missing",546,6980,NA
