"DR2TS040.Code.or.Value","DR2TS040.Value.Description","DR2TS040.Count","DR2TS040.Cumulative","DR2TS040.Skip.to.Item"
"0 to 4.704","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
