"SDMVSTRA.Code.or.Value","SDMVSTRA.Value.Description","SDMVSTRA.Count","SDMVSTRA.Cumulative","SDMVSTRA.Skip.to.Item"
"75 to 89","Range of Values",10537,10537,NA
".","Missing",0,10537,NA
