"HSD010.Code.or.Value","HSD010.Value.Description","HSD010.Count","HSD010.Cumulative","HSD010.Skip.to.Item"
"1","Excellent,",913,913,NA
"2","Very good,",1963,2876,NA
"3","Good,",2349,5225,NA
"4","Fair, or",1020,6245,NA
"5","Poor?",188,6433,NA
"7","Refused",0,6433,NA
"9","Don't know",0,6433,NA
".","Missing",3102,9535,NA
