"CFDCIT1.Code.or.Value","CFDCIT1.Value.Description","CFDCIT1.Count","CFDCIT1.Cumulative","CFDCIT1.Skip.to.Item"
"0 to 4","Range of Values",1467,1467,NA
".","Missing",220,1687,NA
