"DS1IFDFE.Code.or.Value","DS1IFDFE.Value.Description","DS1IFDFE.Count","DS1IFDFE.Cumulative","DS1IFDFE.Skip.to.Item"
"9 to 34000","Range of Values",1770,1770,NA
".","Missing",3924,5694,NA
