"URXP03.Code.or.Value","URXP03.Value.Description","URXP03.Count","URXP03.Cumulative","URXP03.Skip.to.Item"
"3.5 to 7006.6","Range of Values",2502,2502,NA
".","Missing",195,2697,NA
