"VTQ280G.Code.or.Value","VTQ280G.Value.Description","VTQ280G.Count","VTQ280G.Cumulative","VTQ280G.Skip.to.Item"
"1","Yes",90,90,NA
"2","No",1370,1460,NA
"7","Refused",3,1463,NA
"9","Don't know",1,1464,NA
".","Missing",25,1489,NA
