"HCQ140C.Code.or.Value","HCQ140C.Value.Description","HCQ140C.Count","HCQ140C.Cumulative","HCQ140C.Skip.to.Item"
"1","Yes",6,6,NA
"2","No",1,7,NA
"7","Refused",0,7,NA
"9","Don't Know",1,8,NA
".","Missing",99,107,NA
