"BAXFTC41.Code.or.Value","BAXFTC41.Value.Description","BAXFTC41.Count","BAXFTC41.Cumulative","BAXFTC41.Skip.to.Item"
"1 to 29","Range of Values",454,454,NA
".","Missing",557,1011,NA
