"DS1ISELE.Code.or.Value","DS1ISELE.Value.Description","DS1ISELE.Count","DS1ISELE.Cumulative","DS1ISELE.Skip.to.Item"
"1 to 250","Range of Values",858,858,NA
".","Missing",5100,5958,NA
