"LBCBR3LA.Code.or.Value","LBCBR3LA.Value.Description","LBCBR3LA.Count","LBCBR3LA.Cumulative","LBCBR3LA.Skip.to.Item"
"4.67 to 184.6","Range of Values",301,301,NA
".","Missing",0,301,NA
