"DR2TVC.Code.or.Value","DR2TVC.Value.Description","DR2TVC.Count","DR2TVC.Cumulative","DR2TVC.Skip.to.Item"
"0 to 1308.4","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
