"VIQ130.Code.or.Value","VIQ130.Value.Description","VIQ130.Count","VIQ130.Cumulative","VIQ130.Skip.to.Item"
"1","Yes",0,0,""
"2","No",7045,7045,"VIQ150"
".","Missing",400,7445,""
