"OSQ090f.Code.or.Value","OSQ090f.Value.Description","OSQ090f.Count","OSQ090f.Cumulative","OSQ090f.Skip.to.Item"
"1","Yes",20,20,"OSQ120f"
"2","No",3,23,""
"7","Refused",0,23,"OSQ120f"
"9","Don't know",0,23,"OSQ120f"
".","Missing",3046,3069,""
