"URXOP3.Code.or.Value","URXOP3.Value.Description","URXOP3.Count","URXOP3.Cumulative","URXOP3.Skip.to.Item"
"0.28 to 3378.55","Range of Values",3016,3016,NA
".","Missing",136,3152,NA
