"BIXC028K.Code.or.Value","BIXC028K.Value.Description","BIXC028K.Count","BIXC028K.Cumulative","BIXC028K.Skip.to.Item"
"27.68 to 250.16","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
