"MCQ240Y.Code.or.Value","MCQ240Y.Value.Description","MCQ240Y.Count","MCQ240Y.Cumulative","MCQ240Y.Skip.to.Item"
"37 to 52","Range of Values",3,3,NA
"85","85 years or older",0,3,NA
"77777","Refused",0,3,NA
"99999","Don't know",0,3,NA
".","Missing",10467,10470,NA
