"WBXP090.Code.or.Value","WBXP090.Value.Description","WBXP090.Count","WBXP090.Cumulative","WBXP090.Skip.to.Item"
"-165.2222 to 170.625","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
