"FFQ0042.Code.or.Value","FFQ0042.Value.Description","FFQ0042.Count","FFQ0042.Cumulative","FFQ0042.Skip.to.Item"
1,"Yes",4527,4527,""
2,"No",1551,6078,"FFQ0043"
88,"Blank",391,6469,""
99,"Error",3,6472,""
