"LBCBR5LA.Code.or.Value","LBCBR5LA.Value.Description","LBCBR5LA.Count","LBCBR5LA.Cumulative","LBCBR5LA.Skip.to.Item"
"0.4863 to 51.5","Range of Values",265,265,NA
".","Missing",0,265,NA
