"WBXA021.Code.or.Value","WBXA021.Value.Description","WBXA021.Count","WBXA021.Cumulative","WBXA021.Skip.to.Item"
"-16.4276 to 0.9984","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
