"HID010.Code.or.Value","HID010.Value.Description","HID010.Count","HID010.Cumulative","HID010.Skip.to.Item"
"1","Yes",7736,7736,""
"2","No",2038,9774,"HIQ220"
"7","Refused",4,9778,"HIQ220"
"9","Don't know",26,9804,"HIQ220"
".","Missing",161,9965,""
