"URXMNP.Code.or.Value","URXMNP.Value.Description","URXMNP.Count","URXMNP.Cumulative","URXMNP.Skip.to.Item"
"0.8712 to 29.26","Range of Values",2782,2782,NA
".","Missing",119,2901,NA
