"LBCBR5LA.Code.or.Value","LBCBR5LA.Value.Description","LBCBR5LA.Count","LBCBR5LA.Cumulative","LBCBR5LA.Skip.to.Item"
"0.7439 to 47.39","Range of Values",284,284,NA
".","Missing",0,284,NA
