"PFD069O.Code.or.Value","PFD069O.Value.Description","PFD069O.Count","PFD069O.Cumulative","PFD069O.Skip.to.Item"
"1 to 20075","Range of Values",64,64,NA
"66666","Since birth",0,64,NA
"77777","Refused",0,64,NA
"99999","Don't know",1,65,NA
".","Missing",10405,10470,NA
