"LBDFOLSI.Code.or.Value","LBDFOLSI.Value.Description","LBDFOLSI.Count","LBDFOLSI.Cumulative","LBDFOLSI.Skip.to.Item"
"2.5 to 622.9","Range of Values",8386,8386,NA
".","Missing",1543,9929,NA
