"OSD030cc.Code.or.Value","OSD030cc.Value.Description","OSD030cc.Count","OSD030cc.Cumulative","OSD030cc.Skip.to.Item"
"14 to 30","Range of Values",2,2,NA
"80","80 or older",1,3,NA
"77777","Refused",0,3,NA
"99999","Don't know",0,3,NA
".","Missing",6215,6218,NA
