"OPXDF2.Code.or.Value","OPXDF2.Value.Description","OPXDF2.Count","OPXDF2.Cumulative","OPXDF2.Skip.to.Item"
"0","Absent",38,38,NA
"2","Present",2466,2504,NA
".","Missing",430,2934,NA
