"PAD660.Code.or.Value","PAD660.Value.Description","PAD660.Count","PAD660.Cumulative","PAD660.Skip.to.Item"
"10 to 480","Range of Values",1889,1889,NA
"7777","Refused",0,1889,NA
"9999","Don't know",1,1890,NA
".","Missing",7881,9771,NA
