"LBXD03.Code.or.Value","LBXD03.Value.Description","LBXD03.Count","LBXD03.Cumulative","LBXD03.Skip.to.Item"
"13.29 to 1811.3","Range of Values",1885,1885,NA
".","Missing",389,2274,NA
