"LBCBR9.Code.or.Value","LBCBR9.Value.Description","LBCBR9.Count","LBCBR9.Cumulative","LBCBR9.Skip.to.Item"
"0.7071 to 84.4","Range of Values",284,284,NA
".","Missing",0,284,NA
