"DMDEDUC2.Code.or.Value","DMDEDUC2.Value.Description","DMDEDUC2.Count","DMDEDUC2.Cumulative","DMDEDUC2.Skip.to.Item"
"1","Less than 9th grade",550,550,NA
"2","9-11th grade (Includes 12th grade with no diploma)",782,1332,NA
"3","High school graduate/GED or equivalent",1169,2501,NA
"4","Some college or AA degree",1657,4158,NA
"5","College graduate or above",1397,5555,NA
"7","Refused",2,5557,NA
"9","Don't Know",3,5560,NA
".","Missing",4196,9756,NA
