"MSDNTR.Code.or.Value","MSDNTR.Value.Description","MSDNTR.Count","MSDNTR.Cumulative","MSDNTR.Skip.to.Item"
"1 to 6","Range of Values",1500,1500,NA
".","Missing",656,2156,NA
