"WTSPP36.Code.or.Value","WTSPP36.Value.Description","WTSPP36.Count","WTSPP36.Cumulative","WTSPP36.Skip.to.Item"
"0 to 836566.70488","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
