"ENXTR2Q.Code.or.Value","ENXTR2Q.Value.Description","ENXTR2Q.Count","ENXTR2Q.Cumulative","ENXTR2Q.Skip.to.Item"
"5 to 295","Range of Values",6533,6533,NA
".","Missing",1662,8195,NA
