"RFXT028.Code.or.Value","RFXT028.Value.Description","RFXT028.Count","RFXT028.Cumulative","RFXT028.Skip.to.Item"
"230 to 239","Range of Values",33708,33708,NA
".","Missing",13,33721,NA
