"LBXVTFT.Code.or.Value","LBXVTFT.Value.Description","LBXVTFT.Count","LBXVTFT.Cumulative","LBXVTFT.Skip.to.Item"
"0.028 to 0.028","Range of Values",3002,3002,NA
".","Missing",264,3266,NA
