"RIAGENDR.Code.or.Value","RIAGENDR.Value.Description","RIAGENDR.Count","RIAGENDR.Cumulative","RIAGENDR.Skip.to.Item"
"1","Male",4557,4557,NA
"2","Female",4697,9254,NA
".","Missing",0,9254,NA
