"PFQ061O.Code.or.Value","PFQ061O.Value.Description","PFQ061O.Count","PFQ061O.Cumulative","PFQ061O.Skip.to.Item"
"1","No difficulty",1970,1970,NA
"2","Some difficulty",392,2362,NA
"3","Much difficulty",128,2490,NA
"4","Unable to do",67,2557,NA
"5","Do not do this activity",11,2568,NA
"7","Refused",0,2568,NA
"9","Don't know",0,2568,NA
".","Missing",7077,9645,NA
