"RXDCOUNT.Code.or.Value","RXDCOUNT.Value.Description","RXDCOUNT.Count","RXDCOUNT.Cumulative","RXDCOUNT.Skip.to.Item"
"1 to 20","Range of Values",12308,12308,NA
".","Missing",6093,18401,NA
